loss,accuracy,val_loss,val_accuracy,epoch
10.86271858215332,0.5127642750740051,1.3331983089447021,0.6598806381225586,1
1.2682175636291504,0.675497829914093,0.719558835029602,0.7553527355194092,2
0.6832448840141296,0.7749802470207214,0.573453962802887,0.81151282787323,3
0.5481274724006653,0.8313887119293213,0.4992488622665405,0.8402948379516602,4
0.3740566670894623,0.8770945072174072,0.5205694437026978,0.8536328673362732,5
0.2700197994709015,0.907974362373352,0.5110304951667786,0.8799578547477722,6
0.22116804122924805,0.9267479777336121,0.6110810041427612,0.8581958413124084,7
0.21281476318836212,0.9328011274337769,0.44223374128341675,0.8985608816146851,8
0.24984782934188843,0.9398192763328552,0.4633448123931885,0.8922429084777832,9
0.1602977216243744,0.9502587914466858,0.5199040174484253,0.88873291015625,10
0.12372612953186035,0.9617510437965393,0.4831545650959015,0.9006668925285339,11
0.20433394610881805,0.940170168876648,0.5443384051322937,0.8883818984031677,12
0.31164681911468506,0.9387665390968323,0.5499662756919861,0.8838188648223877,13
